frame_index,timestamp_ns,foreground_reference_mm,background_reference_mm,measured_gap_mm,foreground_bleeding_ratio,foreground_bleeding_max_distance_px,background_bleeding_ratio,background_bleeding_max_distance_px,mixed_ratio,peak_mixed_ratio,peak_mixed_distance_px,outlier_ratio,invalid_ratio,invalid_band_width_px,transition_width_px,nominal_edge_offset_px,analysis_status,transition_status
124,1785284693414860854,1945.0,2276.0,331.0,0.0016025641025641025,,0.009548611111111112,,0.13458333333333333,0.7395833333333334,0.0,0.0,0.0,0.0,5.086248331108145,-1.6635514018691588,ok,ok
125,1785284693441574291,1945.0,2276.0,331.0,0.0,,0.0078125,,0.21833333333333332,0.8125,0.0,0.0008333333333333334,0.0,0.0,,,ok,missing_crossing
126,1785284693483118710,1945.0,2276.0,331.0,0.0,,0.0078125,,0.17333333333333334,0.828125,0.0,0.0008333333333333334,0.0,0.0,5.141735849056604,-1.811320754716981,ok,ok
127,1785284693505668906,1945.0,2279.0,334.0,0.0,,0.008680555555555556,,0.1875,0.7760416666666666,0.0,0.0,0.0,0.0,9.698613861386141,-1.7821782178217822,ok,ok
128,1785284693538324483,1945.0,2276.0,331.0,0.0,,0.011284722222222222,,0.16416666666666666,0.75,0.0,0.0,0.0,0.0,6.803703703703704,-1.6851851851851853,ok,ok
129,1785284693571421326,1948.0,2272.0,324.0,0.0,,0.009548611111111112,,0.1875,0.7552083333333334,0.0,0.007083333333333333,0.0,0.0,,,ok,missing_crossing
130,1785284693606079786,1948.0,2276.0,328.0,0.0,,0.009548611111111112,,0.15958333333333333,0.7864583333333334,0.0,0.0008333333333333334,0.0,0.0,5.675706214689269,-1.5593220338983051,ok,ok
131,1785284693648772333,1945.0,2276.0,331.0,0.0,,0.017361111111111112,,0.19083333333333333,0.7135416666666666,0.0,0.0,0.0,0.0,8.461298701298702,-2.76,ok,ok
132,1785284693673018151,1948.0,2279.0,331.0,0.0016025641025641025,,0.0078125,,0.1875,0.8333333333333334,0.0,0.0008333333333333334,0.0,0.0,5.042162162162162,-1.6216216216216215,ok,ok
133,1785284693716638030,1945.0,2283.0,338.0,0.0016025641025641025,,0.006076388888888889,,0.22583333333333333,0.84375,0.0,0.0,0.0,0.0,5.421359223300972,-1.6699029126213594,ok,ok
134,1785284693748855086,1948.0,2276.0,328.0,0.0008012820512820513,,0.014756944444444444,,0.13833333333333334,0.6822916666666666,0.0,0.0,0.0,0.0,6.40942760942761,-1.7037037037037035,ok,ok
135,1785284693774151862,1945.0,2276.0,331.0,0.0,,0.009548611111111112,,0.21583333333333332,0.8229166666666666,0.0,0.0,0.0,0.0,8.769664902998235,-2.6363636363636367,ok,ok
136,1785284693815510133,1945.0,2276.0,331.0,0.0,,0.0078125,,0.24916666666666668,0.8125,0.0,0.0004166666666666667,0.0,0.0,,,ok,missing_crossing
